physician_id,name,specialty,years_experience
PHY-01,Dr. Jan de Jong,Internal Medicine,14
PHY-02,Dr. Paul Janssen,Nephrology,4
PHY-03,Dr. Erik Peters,Internal Medicine,17
PHY-04,Dr. Joost Mulder,Pulmonology,18
PHY-05,Dr. Lars Visser,Nephrology,1
PHY-06,Dr. Emma Hendriks,Pulmonology,2
PHY-07,Dr. Bas de Boer,Nephrology,12
PHY-08,Dr. Anna Smit,Internal Medicine,9
PHY-09,Dr. Liesbeth Bakker,Cardiology,11
PHY-10,Dr. Femke Dijkstra,Pulmonology,6
PHY-11,Dr. Paul Hendriks,Pulmonology,18
PHY-12,Dr. Liesbeth van Dam,Internal Medicine,17
PHY-13,Dr. Petra Visser,Nephrology,12
PHY-14,Dr. Frank Mulder,Gastroenterology,19
PHY-15,Dr. Jeroen Mulder,Infectious Disease,15
PHY-16,Dr. Anna Hendriks,Nephrology,5
PHY-17,Dr. Sophie Dijkstra,Cardiology,14
PHY-18,Dr. Marieke Bakker,Pulmonology,5
PHY-19,Dr. Lars Mulder,Internal Medicine,18
PHY-20,Dr. Anna van Dam,Internal Medicine,11
PHY-21,Dr. Femke van den Berg,Internal Medicine,10
PHY-22,Dr. Bas Bos,Cardiology,7
PHY-23,Dr. Joost Bos,Internal Medicine,20
PHY-24,Dr. Charlotte Hendriks,Internal Medicine,10
PHY-25,Dr. Joost van Dam,Pulmonology,9
